name,neutral,bear,confirm,start,end,years,final_value,total_return,annualized,max_drawdown,sharpe,total_trades,avg_hold_days,reduced_count,sample
baseline,1.0,1.0,2,2010-01-05,2019-12-23,4.0,1068761.0,6.88%,1.66%,-7.89%,-0.32,1785,1,0,样本内
baseline,1.0,1.0,2,2020-01-07,2025-12-30,3.7,1014063.0,1.41%,0.37%,-10.10%,-0.47,1949,1,9,样本外
v2.5旧,1.0,0.4,2,2010-01-05,2019-12-23,4.0,1071307.0,7.13%,1.72%,-7.87%,-0.31,1785,1,5,样本内
v2.5旧,1.0,0.4,2,2020-01-07,2025-12-30,3.7,1005677.0,0.57%,0.15%,-10.99%,-0.52,1949,1,33,样本外
建议配置,0.7,0.3,1,2010-01-05,2019-12-23,4.0,1083113.0,8.31%,1.99%,-7.48%,-0.24,1785,1,17,样本内
建议配置,0.7,0.3,1,2020-01-07,2025-12-30,3.7,1013570.0,1.36%,0.36%,-10.47%,-0.49,1949,1,117,样本外
n50_b10_c1,0.5,0.1,1,2010-01-05,2019-12-23,4.0,1128420.0,12.84%,3.03%,-5.63%,0.02,1785,1,107,样本内
n50_b10_c1,0.5,0.1,1,2020-01-07,2025-12-30,3.7,1027388.0,2.74%,0.73%,-9.74%,-0.46,1919,1,237,样本外
n50_b10_c2,0.5,0.1,2,2010-01-05,2019-12-23,4.0,1103844.0,10.38%,2.47%,-6.43%,-0.13,1785,1,102,样本内
n50_b10_c2,0.5,0.1,2,2020-01-07,2025-12-30,3.7,1007678.0,0.77%,0.20%,-10.44%,-0.57,1926,1,231,样本外
n50_b20_c1,0.5,0.2,1,2010-01-05,2019-12-23,4.0,1099147.0,9.91%,2.37%,-7.01%,-0.16,1785,1,98,样本内
n50_b20_c1,0.5,0.2,1,2020-01-07,2025-12-30,3.7,1031431.0,3.14%,0.83%,-9.59%,-0.43,1948,1,219,样本外
n50_b20_c2,0.5,0.2,2,2010-01-05,2019-12-23,4.0,1085249.0,8.52%,2.04%,-7.50%,-0.24,1785,1,93,样本内
n50_b20_c2,0.5,0.2,2,2020-01-07,2025-12-30,3.7,1017866.0,1.79%,0.47%,-10.00%,-0.51,1948,1,222,样本外
n50_b30_c1,0.5,0.3,1,2010-01-05,2019-12-23,4.0,1078973.0,7.90%,1.90%,-7.78%,-0.27,1785,1,45,样本内
n50_b30_c1,0.5,0.3,1,2020-01-07,2025-12-30,3.7,1030910.0,3.09%,0.82%,-9.83%,-0.43,1949,1,201,样本外
n50_b30_c2,0.5,0.3,2,2010-01-05,2019-12-23,4.0,1073302.0,7.33%,1.76%,-8.04%,-0.30,1785,1,48,样本内
n50_b30_c2,0.5,0.3,2,2020-01-07,2025-12-30,3.7,1020403.0,2.04%,0.54%,-10.19%,-0.49,1949,1,209,样本外
n50_b40_c1,0.5,0.4,1,2010-01-05,2019-12-23,4.0,1071677.0,7.17%,1.73%,-7.99%,-0.31,1785,1,43,样本内
n50_b40_c1,0.5,0.4,1,2020-01-07,2025-12-30,3.7,1029545.0,2.95%,0.78%,-9.95%,-0.43,1949,1,177,样本外
n50_b40_c2,0.5,0.4,2,2010-01-05,2019-12-23,4.0,1070011.0,7.00%,1.69%,-8.06%,-0.32,1785,1,47,样本内
n50_b40_c2,0.5,0.4,2,2020-01-07,2025-12-30,3.7,1022923.0,2.29%,0.61%,-10.23%,-0.48,1949,1,186,样本外
n60_b10_c1,0.6,0.1,1,2010-01-05,2019-12-23,4.0,1130275.0,13.03%,3.07%,-5.55%,0.03,1785,1,93,样本内
n60_b10_c1,0.6,0.1,1,2020-01-07,2025-12-30,3.7,1016344.0,1.63%,0.43%,-10.25%,-0.50,1918,1,198,样本外
n60_b10_c2,0.6,0.1,2,2010-01-05,2019-12-23,4.0,1103621.0,10.36%,2.47%,-6.46%,-0.13,1785,1,80,样本内
n60_b10_c2,0.6,0.1,2,2020-01-07,2025-12-30,3.7,998857.0,-0.11%,-0.03%,-10.87%,-0.60,1925,1,189,样本外
n60_b20_c1,0.6,0.2,1,2010-01-05,2019-12-23,4.0,1100666.0,10.07%,2.40%,-6.93%,-0.15,1785,1,80,样本内
n60_b20_c1,0.6,0.2,1,2020-01-07,2025-12-30,3.7,1020933.0,2.09%,0.56%,-10.01%,-0.47,1947,1,179,样本外
n60_b20_c2,0.6,0.2,2,2010-01-05,2019-12-23,4.0,1085258.0,8.53%,2.04%,-7.53%,-0.23,1785,1,69,样本内
n60_b20_c2,0.6,0.2,2,2020-01-07,2025-12-30,3.7,1009661.0,0.97%,0.26%,-10.37%,-0.53,1947,1,182,样本外
n60_b30_c1,0.6,0.3,1,2010-01-05,2019-12-23,4.0,1081133.0,8.11%,1.95%,-7.68%,-0.26,1785,1,25,样本内
n60_b30_c1,0.6,0.3,1,2020-01-07,2025-12-30,3.7,1020939.0,2.09%,0.56%,-10.23%,-0.47,1949,1,167,样本外
n60_b30_c2,0.6,0.3,2,2010-01-05,2019-12-23,4.0,1073311.0,7.33%,1.77%,-8.08%,-0.30,1785,1,22,样本内
n60_b30_c2,0.6,0.3,2,2020-01-07,2025-12-30,3.7,1013400.0,1.34%,0.36%,-10.55%,-0.51,1949,1,167,样本外
n60_b40_c1,0.6,0.4,1,2010-01-05,2019-12-23,4.0,1073664.0,7.37%,1.77%,-7.90%,-0.30,1785,1,22,样本内
n60_b40_c1,0.6,0.4,1,2020-01-07,2025-12-30,3.7,1020244.0,2.02%,0.54%,-10.35%,-0.47,1949,1,140,样本外
n60_b40_c2,0.6,0.4,2,2010-01-05,2019-12-23,4.0,1070040.0,7.00%,1.69%,-8.10%,-0.31,1785,1,20,样本内
n60_b40_c2,0.6,0.4,2,2020-01-07,2025-12-30,3.7,1015985.0,1.60%,0.43%,-10.56%,-0.49,1949,1,144,样本外
n70_b10_c1,0.7,0.1,1,2010-01-05,2019-12-23,4.0,1132702.0,13.27%,3.13%,-5.33%,0.04,1785,1,87,样本内
n70_b10_c1,0.7,0.1,1,2020-01-07,2025-12-30,3.7,1008510.0,0.85%,0.23%,-10.48%,-0.53,1918,1,147,样本外
n70_b10_c2,0.7,0.1,2,2010-01-05,2019-12-23,4.0,1105430.0,10.54%,2.51%,-6.28%,-0.12,1785,1,72,样本内
n70_b10_c2,0.7,0.1,2,2020-01-07,2025-12-30,3.7,993105.0,-0.69%,-0.18%,-11.07%,-0.61,1924,1,137,样本外
n70_b20_c1,0.7,0.2,1,2010-01-05,2019-12-23,4.0,1102954.0,10.30%,2.45%,-6.72%,-0.13,1785,1,74,样本内
n70_b20_c1,0.7,0.2,1,2020-01-07,2025-12-30,3.7,1012966.0,1.30%,0.35%,-10.24%,-0.50,1947,1,132,样本外
n70_b20_c2,0.7,0.2,2,2010-01-05,2019-12-23,4.0,1086539.0,8.65%,2.07%,-7.37%,-0.22,1785,1,60,样本内
n70_b20_c2,0.7,0.2,2,2020-01-07,2025-12-30,3.7,1002975.0,0.30%,0.08%,-10.59%,-0.55,1947,1,127,样本外
n70_b30_c1,0.7,0.3,1,2010-01-05,2019-12-23,4.0,1083113.0,8.31%,1.99%,-7.48%,-0.24,1785,1,17,样本内
n70_b30_c1,0.7,0.3,1,2020-01-07,2025-12-30,3.7,1013570.0,1.36%,0.36%,-10.47%,-0.49,1949,1,117,样本外
n70_b30_c2,0.7,0.3,2,2010-01-05,2019-12-23,4.0,1074828.0,7.48%,1.80%,-7.90%,-0.29,1785,1,12,样本内
n70_b30_c2,0.7,0.3,2,2020-01-07,2025-12-30,3.7,1007101.0,0.71%,0.19%,-10.76%,-0.53,1949,1,112,样本外
n70_b40_c1,0.7,0.4,1,2010-01-05,2019-12-23,4.0,1075591.0,7.56%,1.82%,-7.70%,-0.28,1785,1,14,样本内
n70_b40_c1,0.7,0.4,1,2020-01-07,2025-12-30,3.7,1013505.0,1.35%,0.36%,-10.62%,-0.49,1949,1,91,样本外
n70_b40_c2,0.7,0.4,2,2010-01-05,2019-12-23,4.0,1071439.0,7.14%,1.72%,-7.93%,-0.30,1785,1,10,样本内
n70_b40_c2,0.7,0.4,2,2020-01-07,2025-12-30,3.7,1010210.0,1.02%,0.27%,-10.80%,-0.51,1949,1,90,样本外
n80_b10_c1,0.8,0.1,1,2010-01-05,2019-12-23,4.0,1132475.0,13.25%,3.12%,-5.31%,0.04,1785,1,84,样本内
n80_b10_c1,0.8,0.1,1,2020-01-07,2025-12-30,3.7,1005643.0,0.56%,0.15%,-10.51%,-0.54,1918,1,113,样本外
n80_b10_c2,0.8,0.1,2,2010-01-05,2019-12-23,4.0,1105355.0,10.54%,2.51%,-6.23%,-0.12,1785,1,67,样本内
n80_b10_c2,0.8,0.1,2,2020-01-07,2025-12-30,3.7,990251.0,-0.97%,-0.26%,-11.12%,-0.62,1924,1,93,样本外
n80_b20_c1,0.8,0.2,1,2010-01-05,2019-12-23,4.0,1102820.0,10.28%,2.45%,-6.69%,-0.13,1785,1,70,样本内
n80_b20_c1,0.8,0.2,1,2020-01-07,2025-12-30,3.7,1010174.0,1.02%,0.27%,-10.27%,-0.51,1947,1,99,样本外
n80_b20_c2,0.8,0.2,2,2010-01-05,2019-12-23,4.0,1086376.0,8.64%,2.07%,-7.32%,-0.22,1785,1,55,样本内
n80_b20_c2,0.8,0.2,2,2020-01-07,2025-12-30,3.7,999994.0,-0.00%,-0.00%,-10.67%,-0.56,1947,1,84,样本外
n80_b30_c1,0.8,0.3,1,2010-01-05,2019-12-23,4.0,1083013.0,8.30%,1.99%,-7.44%,-0.24,1785,1,13,样本内
n80_b30_c1,0.8,0.3,1,2020-01-07,2025-12-30,3.7,1011187.0,1.12%,0.30%,-10.46%,-0.50,1949,1,80,样本外
n80_b30_c2,0.8,0.3,2,2010-01-05,2019-12-23,4.0,1074642.0,7.46%,1.80%,-7.85%,-0.29,1785,1,7,样本内
n80_b30_c2,0.8,0.3,2,2020-01-07,2025-12-30,3.7,1005218.0,0.52%,0.14%,-10.72%,-0.53,1949,1,68,样本外
